Face_ID,Width,Height,Predicted_Gender,Predicted_Age
1,25,31,Female,(25-32)
2,22,32,Female,(25-32)
3,13,19,Female,(25-32)
4,21,28,Male,(25-32)
5,17,22,Female,(25-32)
6,16,22,Female,(25-32)
7,21,25,Female,(25-32)
8,21,30,Male,(25-32)
9,18,22,Female,(25-32)
10,22,30,Female,(25-32)
11,22,27,Female,(25-32)
12,13,18,Male,(25-32)
13,26,31,Female,(25-32)
14,24,30,Male,(25-32)
15,22,29,Female,(25-32)
16,13,18,Male,(25-32)
17,20,24,Female,(25-32)
18,20,25,Female,(25-32)
19,19,24,Female,(25-32)
20,25,28,Female,(25-32)
21,16,20,Female,(25-32)
22,21,28,Male,(25-32)
23,16,23,Female,(25-32)
24,14,20,Female,(25-32)
25,23,32,Female,(25-32)
26,12,21,Female,(25-32)
27,13,16,Female,(25-32)
28,18,25,Female,(25-32)
29,22,29,Male,(25-32)
30,19,23,Female,(25-32)
31,22,28,Male,(25-32)
32,16,23,Female,(25-32)
33,17,21,Female,(25-32)
34,19,26,Male,(25-32)
35,22,25,Female,(25-32)
36,21,29,Female,(8-12)
37,19,24,Female,(25-32)
38,14,19,Female,(25-32)
39,17,21,Female,(25-32)
40,13,19,Male,(25-32)
41,17,22,Female,(25-32)
42,17,26,Male,(25-32)
43,24,25,Female,(25-32)
44,25,27,Female,(25-32)
45,13,16,Female,(25-32)
46,19,24,Male,(25-32)
47,18,22,Female,(25-32)
48,19,22,Female,(25-32)
49,14,18,Male,(25-32)
50,10,16,Female,(25-32)
51,20,24,Female,(25-32)
52,23,30,Female,(25-32)
53,12,18,Female,(25-32)
54,17,25,Male,(25-32)
55,18,24,Female,(25-32)
56,17,23,Male,(25-32)
57,21,24,Female,(25-32)
58,22,28,Female,(25-32)
59,18,25,Female,(25-32)
60,15,20,Male,(25-32)
61,16,24,Female,(25-32)
62,21,25,Female,(25-32)
63,11,15,Female,(25-32)
64,12,19,Female,(25-32)
65,21,26,Female,(25-32)
66,22,29,Female,(25-32)
67,15,21,Female,(25-32)
68,20,27,Female,(25-32)
69,19,25,Female,(25-32)
70,20,24,Male,(25-32)
71,18,23,Male,(25-32)
72,19,22,Male,(25-32)
73,11,16,Male,(25-32)
74,14,20,Male,(25-32)
75,15,21,Female,(25-32)
76,17,22,Female,(25-32)
77,15,24,Female,(25-32)
78,14,20,Male,(25-32)
79,21,29,Female,(25-32)
80,17,26,Female,(25-32)
81,13,17,Male,(25-32)
82,16,20,Male,(25-32)
83,20,27,Male,(25-32)
84,18,23,Female,(25-32)
85,13,17,Female,(25-32)
86,10,14,Female,(25-32)
87,11,14,Female,(25-32)
88,21,25,Female,(25-32)
89,14,21,Female,(25-32)
90,25,26,Female,(25-32)
91,15,18,Female,(25-32)
92,18,24,Female,(25-32)
93,19,27,Female,(25-32)
94,24,29,Male,(25-32)
95,11,16,Female,(25-32)
96,9,11,Male,(25-32)
97,23,27,Female,(25-32)
98,19,24,Male,(8-12)
99,22,27,Female,(25-32)
100,26,28,Female,(25-32)
101,24,28,Female,(25-32)
102,19,27,Female,(25-32)
103,22,24,Female,(8-12)
104,17,21,Female,(25-32)
105,11,16,Female,(25-32)
106,23,30,Female,(25-32)
107,14,19,Female,(25-32)
108,19,23,Female,(8-12)
109,10,16,Male,(25-32)
110,15,21,Female,(25-32)
111,11,15,Female,(25-32)
112,17,23,Female,(25-32)
113,21,28,Female,(8-12)
114,16,18,Male,(25-32)
115,18,29,Female,(25-32)
116,19,21,Male,(25-32)
117,16,23,Female,(25-32)
118,9,14,Male,(25-32)
119,17,23,Female,(25-32)
120,11,15,Male,(4-6)
121,16,19,Male,(25-32)
122,11,17,Female,(25-32)
123,13,17,Female,(0-2)
124,12,16,Male,(8-12)
125,9,12,Female,(25-32)
126,14,19,Male,(25-32)
127,14,19,Female,(25-32)
128,7,11,Male,(8-12)
129,16,22,Male,(25-32)
130,7,11,Female,(25-32)
131,21,25,Female,(25-32)
132,19,25,Male,(25-32)
133,10,13,Male,(25-32)
134,21,31,Female,(25-32)
135,11,15,Male,(25-32)
136,12,15,Female,(25-32)
137,10,16,Male,(25-32)
138,11,16,Male,(25-32)
139,9,12,Male,(25-32)
140,18,26,Female,(25-32)
141,11,17,Female,(25-32)
142,10,14,Male,(25-32)
143,10,13,Female,(25-32)
144,16,24,Male,(25-32)
145,11,14,Male,(25-32)
146,21,27,Male,(25-32)
147,10,13,Female,(25-32)
148,11,14,Female,(8-12)
149,14,19,Female,(25-32)
150,9,12,Female,(8-12)
151,14,18,Male,(25-32)
152,25,25,Male,(4-6)
153,9,13,Male,(25-32)
154,10,15,Female,(8-12)
155,8,11,Female,(25-32)
156,10,15,Female,(25-32)
157,8,13,Male,(25-32)
158,21,25,Female,(25-32)
159,8,13,Female,(25-32)
160,12,17,Female,(8-12)
161,18,21,Female,(25-32)
162,10,14,Female,(25-32)
163,11,18,Female,(8-12)
164,9,11,Male,(25-32)
165,10,14,Female,(25-32)
166,18,21,Female,(25-32)
167,10,14,Female,(25-32)
168,8,9,Female,(25-32)
169,7,11,Male,(25-32)
170,16,20,Male,(25-32)
171,11,15,Female,(25-32)
172,10,14,Male,(25-32)
173,9,13,Male,(25-32)
174,8,10,Female,(0-2)
175,16,23,Female,(25-32)
176,17,22,Male,(25-32)
177,25,26,Female,(8-12)
178,9,14,Female,(25-32)
179,14,19,Female,(25-32)
180,8,9,Female,(25-32)
181,8,10,Female,(25-32)
182,16,20,Female,(25-32)
183,7,10,Female,(25-32)
184,11,17,Female,(4-6)
185,9,14,Female,(25-32)
186,9,14,Female,(25-32)
187,13,17,Female,(25-32)
188,12,14,Female,(8-12)
189,7,9,Male,(25-32)
190,7,11,Male,(25-32)
191,8,10,Male,(8-12)
192,9,12,Male,(25-32)
193,8,10,Male,(25-32)
194,10,13,Female,(25-32)
195,7,9,Female,(25-32)
196,9,12,Female,(25-32)
197,8,12,Male,(25-32)
198,11,15,Female,(25-32)
199,11,17,Male,(25-32)
200,10,12,Female,(25-32)
201,9,12,Female,(8-12)
202,15,21,Female,(25-32)
203,9,11,Female,(25-32)
204,8,10,Female,(25-32)
205,7,10,Male,(25-32)
206,8,11,Male,(25-32)
207,7,9,Female,(25-32)
208,7,9,Female,(25-32)
209,8,11,Female,(25-32)
210,12,18,Male,(25-32)
211,11,16,Female,(25-32)
212,7,10,Female,(25-32)
213,9,12,Female,(25-32)
214,8,10,Male,(25-32)
215,7,12,Male,(25-32)
216,12,18,Female,(25-32)
217,16,21,Female,(25-32)
218,10,14,Female,(25-32)
219,11,14,Female,(25-32)
220,9,12,Male,(25-32)
221,10,13,Female,(25-32)
222,23,25,Female,(25-32)
223,10,12,Male,(25-32)
224,8,11,Male,(25-32)
225,7,12,Male,(25-32)
226,6,9,Female,(25-32)
227,10,14,Female,(25-32)
228,10,14,Female,(25-32)
229,16,19,Male,(25-32)
230,9,13,Female,(25-32)
231,7,10,Female,(4-6)
232,8,11,Male,(25-32)
233,8,11,Male,(8-12)
234,9,11,Female,(4-6)
235,8,11,Female,(25-32)
236,7,9,Female,(8-12)
237,10,13,Male,(25-32)
238,15,20,Female,(25-32)
239,13,19,Female,(8-12)
240,17,23,Female,(25-32)
241,13,19,Male,(25-32)
242,7,9,Male,(0-2)
243,7,10,Female,(25-32)
244,8,10,Male,(25-32)
245,15,22,Female,(38-43)
246,11,16,Female,(25-32)
247,10,16,Female,(8-12)
248,8,11,Female,(25-32)
249,14,17,Female,(25-32)
250,12,17,Male,(8-12)
251,8,11,Male,(25-32)
252,8,10,Male,(25-32)
253,11,13,Female,(25-32)
254,8,11,Female,(25-32)
255,21,28,Male,(25-32)
256,14,19,Female,(25-32)
257,20,23,Female,(25-32)
258,7,10,Female,(25-32)
259,9,12,Female,(25-32)
260,16,19,Male,(25-32)
261,8,11,Male,(25-32)
262,7,8,Male,(25-32)
263,18,22,Female,(25-32)
264,12,20,Female,(25-32)
265,12,16,Female,(25-32)
266,10,14,Male,(8-12)
267,9,13,Female,(25-32)
268,14,18,Male,(25-32)
269,9,11,Female,(8-12)
270,8,13,Female,(8-12)
271,21,25,Male,(25-32)
272,7,8,Male,(25-32)
273,9,12,Female,(25-32)
274,7,10,Female,(25-32)
275,8,12,Female,(25-32)
276,10,14,Female,(25-32)
277,7,9,Male,(8-12)
278,8,11,Female,(25-32)
279,18,25,Female,(25-32)
