Face_ID,Width,Height,Predicted_Gender,Predicted_Age
1,58,71,Male,(25-32)
2,55,61,Female,(25-32)
3,54,64,Female,(8-12)
4,56,62,Male,(25-32)
5,59,85,Male,(25-32)
6,57,57,Female,(25-32)
7,55,78,Male,(25-32)
8,56,85,Male,(25-32)
9,61,72,Male,(0-2)
10,49,64,Female,(25-32)
11,61,71,Male,(25-32)
12,63,91,Male,(0-2)
13,53,66,Male,(25-32)
14,63,76,Male,(25-32)
15,59,59,Female,(25-32)
16,55,78,Female,(25-32)
17,58,82,Male,(25-32)
18,62,92,Male,(0-2)
19,43,61,Male,(0-2)
20,62,77,Male,(60-100)
21,68,77,Female,(25-32)
22,56,64,Male,(0-2)
23,64,85,Male,(25-32)
24,50,54,Female,(25-32)
25,62,87,Female,(25-32)
26,63,71,Female,(0-2)
27,54,72,Male,(8-12)
28,58,71,Female,(8-12)
29,54,77,Male,(0-2)
30,64,79,Male,(0-2)
31,43,61,Male,(25-32)
32,48,53,Male,(25-32)
33,64,77,Female,(25-32)
34,46,74,Male,(25-32)
35,64,73,Male,(25-32)
36,49,52,Female,(4-6)
37,59,70,Male,(25-32)
38,62,63,Male,(25-32)
39,54,71,Female,(25-32)
40,40,33,Male,(0-2)
41,33,36,Female,(25-32)
42,28,26,Female,(25-32)
43,33,35,Female,(8-12)
